GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0043067,regulation of programmed cell death,BP,e,271,3765,1198,20413,0.0001920708096433,0.0060185123884122
GO:0050789,regulation of biological process,BP,e,1942,3765,9970,20413,0.0002001216168409,0.0062232053018541
GO:0180051,translation factor activity,MF,p,3,3765,79,20413,0.0002053437428475,0.0063470728841234
GO:0001517,N-acetylglucosamine 6-O-sulfotransferase activity,MF,e,5,3765,5,20413,0.0002129852509316,0.0065047790571431
GO:0030185,nitric oxide transport,BP,e,5,3765,5,20413,0.0002129852509316,0.0065047790571431
GO:0016763,pentosyltransferase activity,MF,p,1,3765,56,20413,0.0002172323378229,0.0066068344782376
GO:0051236,establishment of RNA localization,BP,p,6,3765,105,20413,0.0002204969458079,0.0066835485394942
GO:0071806,protein transmembrane transport,BP,p,2,3765,67,20413,0.0002237753827662,0.0067438660573951
GO:0008173,RNA methyltransferase activity,MF,p,2,3765,67,20413,0.0002237753827662,0.0067438660573951
GO:0040008,regulation of growth,BP,e,115,3765,453,20413,0.0002249746911432,0.0067700533709232
GO:1902493,acetyltransferase complex,CC,p,6,3765,107,20413,0.0002280004446521,0.0068510456191446
GO:0016494,C-X-C chemokine receptor activity,MF,e,6,3765,7,20413,0.0002313158229171,0.0069404907160199
GO:0060261,positive regulation of transcription initiation by RNA polymerase II,BP,p,1,3765,58,20413,0.0002327463907656,0.0069732043654397
GO:0031507,heterochromatin formation,BP,p,12,3765,155,20413,0.0002393980338297,0.007151580039756
GO:0140150,gel phase of interstitial matrix,CC,e,14,3765,29,20413,0.0002430666143115,0.0071982140564847
GO:0071953,elastic fiber,CC,e,14,3765,29,20413,0.0002430666143115,0.0071982140564847
GO:0042393,histone binding,MF,p,12,3765,156,20413,0.0002447503794145,0.0072335432763402
GO:0032210,regulation of telomere maintenance via telomerase,BP,p,0,3765,44,20413,0.0002568559071115,0.0075303978604239
GO:0006418,tRNA aminoacylation for protein translation,BP,p,0,3765,44,20413,0.0002568559071115,0.0075303978604239
GO:0019725,cellular homeostasis,BP,e,141,3765,577,20413,0.0002580794827454,0.0075554611998603
GO:0022414,reproductive process,BP,e,218,3765,946,20413,0.0002604063521996,0.0075960605917523
GO:0050801,monoatomic ion homeostasis,BP,e,110,3765,432,20413,0.0002629404169552,0.0076431744179622
GO:0030036,actin cytoskeleton organization,BP,e,86,3765,324,20413,0.0002882749695473,0.0082624041271798
GO:0060260,regulation of transcription initiation by RNA polymerase II,BP,p,3,3765,76,20413,0.0002971908428341,0.0084587943641674
GO:0032007,negative regulation of TOR signaling,BP,p,3,3765,76,20413,0.0002971908428341,0.0084587943641674
GO:0061512,protein localization to cilium,BP,p,3,3765,77,20413,0.0003049584022009,0.0086678398561774
GO:0007218,neuropeptide signaling pathway,BP,e,23,3765,60,20413,0.0003078468313404,0.0087356770443864
GO:0050657,nucleic acid transport,BP,p,6,3765,103,20413,0.0003115086400649,0.0087930393400162
GO:0050658,RNA transport,BP,p,6,3765,103,20413,0.0003115086400649,0.0087930393400162
GO:0003677,DNA binding,MF,p,312,3765,2012,20413,0.000312035777544,0.0087958035614991
GO:0098803,respiratory chain complex,CC,p,6,3765,104,20413,0.0003149898026464,0.0088547133410627
GO:0032204,regulation of telomere maintenance,BP,p,6,3765,104,20413,0.0003149898026464,0.0088547133410627
GO:2000036,regulation of stem cell population maintenance,BP,p,2,3765,65,20413,0.0003328725415446,0.0093445986217468
GO:0022625,cytosolic large ribosomal subunit,CC,p,1,3765,55,20413,0.0003357597568089,0.0094127560824698
GO:0051865,protein autoubiquitination,BP,p,2,3765,66,20413,0.0003391228895927,0.0094681817117499
GO:0033554,cellular response to stress,BP,p,213,3765,1425,20413,0.0003440658419969,0.0095800832881019
GO:0004812,aminoacyl-tRNA ligase activity,MF,p,0,3765,41,20413,0.0003838453656724,0.0105303120197129
GO:0016875,"ligase activity, forming carbon-oxygen bonds",MF,p,0,3765,41,20413,0.0003838453656724,0.0105303120197129
GO:0006629,lipid metabolic process,BP,e,219,3765,956,20413,0.0003854606627199,0.0105604884506955
GO:0055082,intracellular chemical homeostasis,BP,e,122,3765,491,20413,0.0003921447861212,0.0107292698290838
GO:0006351,DNA-templated transcription,BP,p,29,3765,276,20413,0.0004055653187576,0.0110669108885489
GO:7770058,mitochondrial protein import pathway,BP,p,0,3765,42,20413,0.0004092556414265,0.0111231775328301
GO:0031124,mRNA 3'-end processing,BP,p,0,3765,42,20413,0.0004092556414265,0.0111231775328301
GO:1902555,endoribonuclease complex,CC,p,0,3765,42,20413,0.0004092556414265,0.0111231775328301
GO:0031175,neuron projection development,BP,e,92,3765,355,20413,0.0004158867840284,0.0112545762851949
GO:0016874,ligase activity,MF,p,13,3765,159,20413,0.0004247022962198,0.0114669619979369
GO:0051028,mRNA transport,BP,p,3,3765,74,20413,0.0004369915731486,0.0117680686471141
GO:0000018,regulation of DNA recombination,BP,p,8,3765,118,20413,0.0004755149861271,0.0125576399622482
GO:0036094,small molecule binding,MF,e,820,3765,4025,20413,0.0004776435124333,0.0125976171174981
GO:0006417,regulation of translation,BP,p,36,3765,322,20413,0.0004787267778564,0.0126099586871628
GO:0006457,protein folding,BP,p,19,3765,201,20413,0.0004872161611319,0.0128006676795846
GO:0045911,positive regulation of DNA recombination,BP,p,2,3765,63,20413,0.0004960502273968,0.0130160785019772
GO:0001947,heart looping,BP,e,15,3765,34,20413,0.0005003314921377,0.0130948828459494
GO:0140352,export from cell,BP,e,91,3765,352,20413,0.0005067756398847,0.0132466239644882
GO:0061695,"transferase complex, transferring phosphorus-containing groups",CC,p,26,3765,250,20413,0.0005450875447369,0.0141577681296499
GO:0031090,organelle membrane,CC,p,595,3765,3619,20413,0.0005603112783272,0.0144918772451004
GO:0048585,negative regulation of response to stimulus,BP,e,330,3765,1511,20413,0.0005608082927696,0.0144918772451004
GO:0072676,lymphocyte migration,BP,e,18,3765,44,20413,0.000565817262894,0.0145852744257717
GO:0046903,secretion,BP,e,92,3765,358,20413,0.000569476945267,0.0146611696474341
GO:0043487,regulation of RNA stability,BP,p,17,3765,185,20413,0.0005721084003466,0.0147104359451745
GO:0099536,synaptic signaling,BP,e,72,3765,267,20413,0.0005946256097854,0.0152320782766662
GO:0010257,NADH dehydrogenase complex assembly,BP,p,0,3765,39,20413,0.0006051593892448,0.015367449025767
GO:0032981,mitochondrial respiratory chain complex I assembly,BP,p,0,3765,39,20413,0.0006051593892448,0.015367449025767
GO:0072344,rescue of stalled cytosolic ribosome,BP,p,0,3765,38,20413,0.0006025289371137,0.015367449025767
GO:0030488,tRNA methylation,BP,p,0,3765,39,20413,0.0006051593892448,0.015367449025767
GO:0016180,snRNA processing,BP,p,0,3765,38,20413,0.0006025289371137,0.015367449025767
GO:0009060,aerobic respiration,BP,p,6,3765,98,20413,0.0006229571981565,0.015796764338083
GO:0043130,ubiquitin binding,MF,p,6,3765,99,20413,0.0006236071999955,0.015796764338083
GO:0004521,RNA endonuclease activity,MF,p,3,3765,72,20413,0.0006434055271391,0.0162180928261525
GO:0045333,cellular respiration,BP,p,7,3765,107,20413,0.0006455260471076,0.016251554402184
GO:0032434,regulation of proteasomal ubiquitin-dependent protein catabolic process,BP,p,9,3765,123,20413,0.0006495531350017,0.0162989377409373
GO:0002182,cytoplasmic translational elongation,BP,p,0,3765,40,20413,0.0006538065091921,0.0163595321036316
GO:0008092,cytoskeletal protein binding,MF,e,210,3765,920,20413,0.0006787860304207,0.0169431938141434
GO:0090049,regulation of cell migration involved in sprouting angiogenesis,BP,e,18,3765,45,20413,0.0007106596713041,0.0175676099445551
GO:1903587,regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,BP,e,12,3765,25,20413,0.0007216980241595,0.0177335223130706
GO:0055080,monoatomic cation homeostasis,BP,e,105,3765,420,20413,0.000729949000951,0.0178995178894328
GO:0004866,endopeptidase inhibitor activity,MF,e,37,3765,118,20413,0.0007377899326383,0.0180208928361838
GO:0016050,vesicle organization,BP,p,32,3765,289,20413,0.0007414420397253,0.0180670293936869
GO:0000245,spliceosomal complex assembly,BP,p,1,3765,50,20413,0.0007634901047263,0.0184943294517223
GO:0000315,organellar large ribosomal subunit,CC,p,1,3765,50,20413,0.0007634901047263,0.0184943294517223
GO:0005762,mitochondrial large ribosomal subunit,CC,p,1,3765,50,20413,0.0007634901047263,0.0184943294517223
GO:0071005,U2-type precatalytic spliceosome,CC,p,1,3765,50,20413,0.0007634901047263,0.0184943294517223
GO:0051607,defense response to virus,BP,p,20,3765,206,20413,0.0007681927994517,0.0185643573575052
GO:0010569,regulation of double-strand break repair via homologous recombination,BP,p,4,3765,81,20413,0.0007712325618337,0.0186158644165585
GO:0005344,oxygen carrier activity,MF,e,6,3765,8,20413,0.0007797407976549,0.0186891714171735
GO:0015671,oxygen transport,BP,e,6,3765,8,20413,0.0007797407976549,0.0186891714171735
GO:0007422,peripheral nervous system development,BP,e,9,3765,16,20413,0.0007958715192028,0.0189869558125998
GO:0140767,enzyme-substrate adaptor activity,MF,p,16,3765,175,20413,0.0008139884423094,0.0193515836986626
GO:0045089,positive regulation of innate immune response,BP,p,29,3765,268,20413,0.0008202680916644,0.0194557337991672
GO:0061061,muscle structure development,BP,e,28,3765,82,20413,0.0008216336832623,0.019465594301844
GO:0016579,protein deubiquitination,BP,p,5,3765,88,20413,0.0008249540167114,0.0194991726233762
GO:0009593,detection of chemical stimulus,BP,e,26,3765,75,20413,0.000824355470548,0.0194991726233762
GO:0061013,regulation of mRNA catabolic process,BP,p,19,3765,198,20413,0.0008418678398736,0.0198531618441091
GO:0004386,helicase activity,MF,p,10,3765,129,20413,0.0008677364903144,0.0203228844525865
GO:0015931,nucleobase-containing compound transport,BP,p,15,3765,167,20413,0.0008779295464988,0.0205381394936083
GO:0042147,"retrograde transport, endosome to Golgi",BP,p,7,3765,104,20413,0.00089913191458,0.020986230439053
GO:0042304,regulation of fatty acid biosynthetic process,BP,e,17,3765,42,20413,0.0009182620776624,0.0213597556839244
GO:0048519,negative regulation of biological process,BP,e,935,3765,4649,20413,0.000920563841078,0.0213890190421914
GO:0006811,monoatomic ion transport,BP,e,193,3765,844,20413,0.000928259363107,0.0215013543863226
GO:0035861,site of double-strand break,CC,p,7,3765,106,20413,0.0009319613139958,0.0215013543863226
GO:0140006,histone H3 reader activity,MF,p,3,3765,69,20413,0.0009304629478732,0.0215013543863226
GO:0022627,cytosolic small ribosomal subunit,CC,p,0,3765,36,20413,0.0009397515526622,0.0215624133291786
GO:0000175,3'-5'-RNA exonuclease activity,MF,p,0,3765,36,20413,0.0009397515526622,0.0215624133291786
GO:0032205,negative regulation of telomere maintenance,BP,p,0,3765,36,20413,0.0009397515526622,0.0215624133291786
GO:0035196,miRNA processing,BP,p,0,3765,36,20413,0.0009397515526622,0.0215624133291786
GO:0044743,protein transmembrane import into intracellular organelle,BP,p,0,3765,37,20413,0.0009570345770476,0.0218402111218681
GO:0071027,nuclear RNA surveillance,BP,p,0,3765,37,20413,0.0009570345770476,0.0218402111218681
GO:0000781,"chromosome, telomeric region",CC,p,14,3765,160,20413,0.0009565269041533,0.0218402111218681
GO:0031647,regulation of protein stability,BP,p,41,3765,346,20413,0.0009864379758785,0.0223655095647826
GO:0015078,proton transmembrane transporter activity,MF,p,17,3765,182,20413,0.0010045207182423,0.0227214603520323
GO:0061588,calcium activated phospholipid scrambling,BP,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192
GO:2000858,regulation of aldosterone secretion,BP,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192
GO:2000855,regulation of mineralocorticoid secretion,BP,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192
GO:1903598,positive regulation of gap junction assembly,BP,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192
GO:0019958,C-X-C chemokine binding,MF,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192
GO:1990239,steroid hormone binding,MF,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192
GO:1990410,adrenomedullin receptor signaling pathway,BP,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192
GO:0031838,haptoglobin-hemoglobin complex,CC,e,5,3765,6,20413,0.0010817079228031,0.0239389205853192
GO:0000993,RNA polymerase II complex binding,MF,p,2,3765,59,20413,0.0011069801743098,0.0244191008741997
GO:0019843,rRNA binding,MF,p,2,3765,59,20413,0.0011069801743098,0.0244191008741997
GO:0030547,signaling receptor inhibitor activity,MF,e,12,3765,26,20413,0.0011167684595893,0.0245557253673439
GO:0060043,regulation of cardiac muscle cell proliferation,BP,e,12,3765,26,20413,0.0011167684595893,0.0245557253673439
GO:0035869,ciliary transition zone,CC,p,4,3765,79,20413,0.0011257336389174,0.0247263231107558
GO:0009152,purine ribonucleotide biosynthetic process,BP,p,11,3765,135,20413,0.0011302299053614,0.0247919148462196
GO:1902115,regulation of organelle assembly,BP,p,26,3765,244,20413,0.0011336564932065,0.0248205368753012
GO:0071881,adenylate cyclase-inhibiting adrenergic receptor signaling pathway,BP,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0042940,D-amino acid transport,BP,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0034201,response to oleic acid,BP,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0042482,positive regulation of odontogenesis,BP,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0140097,"catalytic activity, acting on DNA",MF,p,28,3765,256,20413,0.0011518529713398,0.0249315831474059
GO:0030284,nuclear estrogen receptor activity,MF,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0034189,very-low-density lipoprotein particle binding,MF,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0004936,alpha-adrenergic receptor activity,MF,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0047024,"5-alpha-androstane-3-beta,17-beta-diol dehydrogenase (NADP+) activity",MF,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0061689,tricellular tight junction,CC,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0008282,inward rectifying potassium channel,CC,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0090733,tenascin complex,CC,e,4,3765,4,20413,0.0011557606982889,0.0249315831474059
GO:0006368,transcription elongation by RNA polymerase II,BP,p,1,3765,47,20413,0.0011629220797586,0.0249547247963288
GO:1905348,endonuclease complex,CC,p,1,3765,47,20413,0.0011629220797586,0.0249547247963288
GO:0004532,RNA exonuclease activity,MF,p,1,3765,47,20413,0.0011629220797586,0.0249547247963288
GO:1901740,negative regulation of myoblast fusion,BP,p,1,3765,47,20413,0.0011629220797586,0.0249547247963288
GO:0009615,response to virus,BP,p,34,3765,297,20413,0.0011607172713476,0.0249547247963288
GO:0070897,transcription preinitiation complex assembly,BP,p,2,3765,60,20413,0.0011671942232477,0.0249940556081671
GO:0008408,3'-5' exonuclease activity,MF,p,2,3765,60,20413,0.0011671942232477,0.0249940556081671
GO:0031645,negative regulation of nervous system process,BP,e,7,3765,11,20413,0.0011853211430435,0.0250937873805692
GO:0004527,exonuclease activity,MF,p,5,3765,86,20413,0.0011737293228397,0.0250937873805692
GO:0043065,positive regulation of apoptotic process,BP,e,105,3765,425,20413,0.0012251440612365,0.0256420381869496
GO:0010506,regulation of autophagy,BP,p,41,3765,345,20413,0.0012262332222324,0.0256420381869496
GO:0072666,establishment of protein localization to vacuole,BP,p,1,3765,49,20413,0.0012331112562127,0.0257595810128106
GO:0036464,cytoplasmic ribonucleoprotein granule,CC,p,25,3765,236,20413,0.0012613965067844,0.0262168342936442
GO:0019228,neuronal action potential,BP,e,10,3765,20,20413,0.0013572987507086,0.0279830214268334
GO:0061037,negative regulation of cartilage development,BP,e,10,3765,20,20413,0.0013572987507086,0.0279830214268334
GO:0034976,response to endoplasmic reticulum stress,BP,p,22,3765,215,20413,0.0013639993134149,0.0280929024420234
GO:0035097,histone methyltransferase complex,CC,p,3,3765,68,20413,0.0013988057514585,0.0286657262646395
GO:0030141,secretory granule,CC,e,73,3765,280,20413,0.0014204896135703,0.0289364748020843
GO:0120545,nucleic acid conformation isomerase activity,MF,p,12,3765,140,20413,0.0014307528724119,0.0290877168793027
GO:1905370,serine-type endopeptidase complex,CC,e,13,3765,30,20413,0.0014402320350024,0.029164698708799
GO:1905286,serine-type peptidase complex,CC,e,13,3765,30,20413,0.0014402320350024,0.029164698708799
GO:1902531,regulation of intracellular signal transduction,BP,e,390,3765,1837,20413,0.0014445972422778,0.0292242164718647
GO:0009156,ribonucleoside monophosphate biosynthetic process,BP,p,0,3765,34,20413,0.0014703395301349,0.0296863724049805
GO:0044409,symbiont entry into host,BP,e,24,3765,69,20413,0.001494212380657,0.0299910816031386
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,BP,e,27,3765,82,20413,0.0015070521800894,0.0302191979712072
GO:0003714,transcription corepressor activity,MF,p,21,3765,207,20413,0.0015104400939935,0.0302575257538708
GO:0140142,nucleocytoplasmic carrier activity,MF,p,0,3765,35,20413,0.0015182165956505,0.0303409815359348
GO:0071357,cellular response to type I interferon,BP,p,0,3765,35,20413,0.0015182165956505,0.0303409815359348
GO:0016241,regulation of macroautophagy,BP,p,18,3765,184,20413,0.0015367804740534,0.0306354496641811
GO:0003725,double-stranded RNA binding,MF,p,4,3765,75,20413,0.001540486263088,0.030642542764159
GO:0009628,response to abiotic stimulus,BP,e,198,3765,876,20413,0.0015505552198477,0.0307902404266867
GO:1990928,response to amino acid starvation,BP,p,2,3765,56,20413,0.0016231834090192,0.0321390314985803
GO:0045271,respiratory chain complex I,CC,p,1,3765,45,20413,0.0017565330040066,0.0344136050201803
GO:0030964,NADH dehydrogenase complex,CC,p,1,3765,45,20413,0.0017565330040066,0.0344136050201803
GO:1902459,positive regulation of stem cell population maintenance,BP,p,1,3765,45,20413,0.0017565330040066,0.0344136050201803
GO:0008289,lipid binding,MF,e,157,3765,678,20413,0.0017655132585224,0.0344577744827624
GO:0140374,antiviral innate immune response,BP,p,6,3765,93,20413,0.001772730634656,0.0345328601673055
GO:0006352,DNA-templated transcription initiation,BP,p,7,3765,101,20413,0.0017719618572451,0.0345328601673055
GO:0002833,positive regulation of response to biotic stimulus,BP,p,34,3765,292,20413,0.0017948911876576,0.034931343882876
GO:0046034,ATP metabolic process,BP,p,13,3765,147,20413,0.0018039415023622,0.0350741681289459
GO:0098809,nitrite reductase activity,MF,e,6,3765,9,20413,0.0019727924522475,0.0375294181449584
GO:0043484,regulation of RNA splicing,BP,p,18,3765,182,20413,0.0020002996078774,0.0379205734174214
GO:0099537,trans-synaptic signaling,BP,e,67,3765,256,20413,0.0019993111245348,0.0379205734174214
GO:0005882,intermediate filament,CC,e,28,3765,87,20413,0.0020174182725663,0.0381621643348278
GO:0072665,protein localization to vacuole,BP,p,3,3765,66,20413,0.0020639622124471,0.038837733626827
GO:0015453,oxidoreduction-driven active transmembrane transporter activity,MF,p,3,3765,66,20413,0.0020639622124471,0.038837733626827
GO:0005694,chromosome,CC,p,77,3765,567,20413,0.0020682195998199,0.038848784838782
GO:0007399,nervous system development,BP,e,81,3765,319,20413,0.002157096111637,0.0404440719266033
GO:0016236,macroautophagy,BP,p,14,3765,151,20413,0.0021824993052637,0.0408083560791704
GO:0022600,digestive system process,BP,e,21,3765,60,20413,0.0022291392455619,0.0415796623843573
GO:0032182,ubiquitin-like protein binding,MF,p,9,3765,113,20413,0.0022621448575723,0.0419910639186872
GO:0043167,ion binding,MF,e,772,3765,3825,20413,0.0022684246055605,0.0420695252866528
GO:0048584,positive regulation of response to stimulus,BP,e,425,3765,2026,20413,0.0022924698171111,0.0424386485655451
GO:0051059,NF-kappaB binding,MF,p,0,3765,32,20413,0.0023081395916215,0.0425748916751572
GO:0035459,vesicle cargo loading,BP,p,0,3765,32,20413,0.0023081395916215,0.0425748916751572
GO:1990756,ubiquitin-like ligase-substrate adaptor activity,MF,p,13,3765,144,20413,0.0023677573988374,0.0433595768566722
GO:0097648,G protein-coupled receptor complex,CC,e,9,3765,18,20413,0.002369722640876,0.0433595768566722
GO:0070063,RNA polymerase binding,MF,p,5,3765,82,20413,0.0023788610221503,0.0434879562238414
GO:0003143,embryonic heart tube morphogenesis,BP,e,15,3765,38,20413,0.00241832609329,0.0435489952810132
GO:0008175,tRNA methyltransferase activity,MF,p,0,3765,33,20413,0.0024158764493428,0.0435489952810132
GO:0098800,inner mitochondrial membrane protein complex,CC,p,2,3765,54,20413,0.0024046810815789,0.0435489952810132
GO:0010874,regulation of cholesterol efflux,BP,e,15,3765,38,20413,0.00241832609329,0.0435489952810132
